runna_exerciseId,garmin_category,garmin_exercise,garmin_name,method,confidence,runna_data,intensity,runna_equip,runna_muscleBroad,intensity_match,description_hint,notes
HIGH_KNEE_DRILL,HYPEREXTENSION,KNEE_RAISES,Knee Raises,heuristic,med,inferred,bodyweight,BW,,same,High Knee Drill,
HIGH_KNEE_HUGS,WARM_UP,WALKING_KNEE_HUGS,Walking Knee Hugs,heuristic,med,inferred,bodyweight,BW,,same,High Knee Hugs,
HIP_CIRCLES,HIP_STABILITY,HIP_CIRCLES,Hip Circles,enum-exact,med,inferred,bodyweight,BW,,same,Hip Circles,
HIP_DROP,HIP_STABILITY,HIP_STABILITY,Hip Stability,curated,low,verified,bodyweight,STEP,EXTRA,same,Hip Drop,running pelvic-drop; hip stability (same area)
HIP_HITCHES,CRUNCH,HIP_CROSSOVER,Hip Crossover,heuristic,med,inferred,bodyweight,BW,,same,Hip Hitches,
HIP_ROLLS,CRUNCH,HIP_CROSSOVER,Hip Crossover,heuristic,med,inferred,bodyweight,BW,,same,Hip Rolls,
HIP_SWITCHES,CORE,WINDMILL_SWITCHES,Windmill Switches,heuristic,med,inferred,bodyweight,BW,,same,Hip Switches,
HIP_THRUST,HIP_RAISE,HIP_RAISE,Hip Raise,heuristic,med,inferred,bodyweight,BW,,same,Hip Thrust,
HIP_THRUST_1,HIP_RAISE,HIP_RAISE,Hip Raise,heuristic,med,inferred,bodyweight,BW,,same,Hip Thrust 1,
HOPPING,TOTAL_BODY,TOTAL_BODY,Total Body,fallback,low,inferred,bodyweight,BW,,same,Hopping,no close match; generic same-muscle-group placeholder — see description
HURDLE_HOPS,DEADLIFT,DEADLIFT,Deadlift,fallback,low,inferred,bodyweight,BW,,relaxed,Hurdle Hops,no close match; generic same-muscle-group placeholder — see description
INCLINE_BARBELL_BENCH_PRESS,BENCH_PRESS,INCLINE_BARBELL_BENCH_PRESS,Incline Barbell Bench Press,enum-exact,high,verified,weighted,BARBELL,CHEST,same,Incline Barbell Bench Press,
INCLINE_DUMBBELL_BENCH_PRESS,BENCH_PRESS,INCLINE_DUMBBELL_BENCH_PRESS,Incline Dumbbell Bench Press,enum-exact,med,inferred,weighted,DB,,same,Incline Dumbbell Bench Press,
KB_DEADLIFT,DEADLIFT,DEADLIFT,Deadlift,heuristic,med,inferred,weighted,KB,,same,Kb Deadlift,
KB_FRONT_RACKED_SQUAT,SQUAT,BARBELL_FRONT_SQUAT,Barbell Front Squat,heuristic,med,inferred,weighted,KB,,same,Kb Front Racked Squat,
